Id : 430  County Median Age
B01002001E001001                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Autauga County, AL                                                   NSA  Annual     17-Mar-2022  
B01002001E001097                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Mobile County, AL                                                    NSA  Annual     17-Mar-2022  
B01002001E001099                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Monroe County, AL                                                    NSA  Annual     17-Mar-2022  
B01002001E001101                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Montgomery County, AL                                                NSA  Annual     17-Mar-2022  
B01002001E001103                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Morgan County, AL                                                    NSA  Annual     17-Mar-2022  
B01002001E001105                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Perry County, AL                                                     NSA  Annual     17-Mar-2022  
B01002001E001107                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Pickens County, AL                                                   NSA  Annual     17-Mar-2022  
B01002001E001109                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Pike County, AL                                                      NSA  Annual     17-Mar-2022  
B01002001E001111                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Randolph County, AL                                                  NSA  Annual     17-Mar-2022  
B01002001E001113                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Russell County, AL                                                   NSA  Annual     17-Mar-2022  
B01002001E001115                        Estimate, Median Age by Sex, Total Population (5-year estimate) in St. Clair County, AL                                                 NSA  Annual     17-Mar-2022  
B01002001E001117                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Shelby County, AL                                                    NSA  Annual     17-Mar-2022  
B01002001E001119                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Sumter County, AL                                                    NSA  Annual     17-Mar-2022  
B01002001E001121                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Talladega County, AL                                                 NSA  Annual     17-Mar-2022  
B01002001E001123                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Tallapoosa County, AL                                                NSA  Annual     17-Mar-2022  
B01002001E001125                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Tuscaloosa County, AL                                                NSA  Annual     17-Mar-2022  
B01002001E001127                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Walker County, AL                                                    NSA  Annual     17-Mar-2022  
B01002001E001129                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Washington County, AL                                                NSA  Annual     17-Mar-2022  
B01002001E001131                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Wilcox County, AL                                                    NSA  Annual     17-Mar-2022  
B01002001E001133                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Winston County, AL                                                   NSA  Annual     17-Mar-2022  
B01002001E002013                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Aleutians East Borough, AK                                           NSA  Annual     17-Mar-2022  
B01002001E002016                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Aleutians West Census Area, AK                                       NSA  Annual     17-Mar-2022  
B01002001E002020                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Anchorage Borough/municipality, AK                                   NSA  Annual     17-Mar-2022  
B01002001E002050                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Bethel Census Area, AK                                               NSA  Annual     17-Mar-2022  
B01002001E002060                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Bristol Bay Borough, AK                                              NSA  Annual     17-Mar-2022  
B01002001E002068                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Denali Borough, AK                                                   NSA  Annual     17-Mar-2022  
B01002001E002070                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Dillingham Census Area, AK                                           NSA  Annual     17-Mar-2022  
B01002001E002090                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Fairbanks North Star Borough, AK                                     NSA  Annual     17-Mar-2022  
B01002001E002100                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Haines Borough, AK                                                   NSA  Annual     17-Mar-2022  
B01002001E002105                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Hoonah-Angoon Census Area, AK                                        NSA  Annual     17-Mar-2022  
B01002001E002110                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Juneau City and Borough, AK                                          NSA  Annual     17-Mar-2022  
B01002001E002122                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Kenai Peninsula Borough, AK                                          NSA  Annual     17-Mar-2022  
B01002001E002130                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Ketchikan Gateway Borough, AK                                        NSA  Annual     17-Mar-2022  
B01002001E002150                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Kodiak Island Borough, AK                                            NSA  Annual     17-Mar-2022  
B01002001E002164                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lake and Peninsula Borough, AK                                       NSA  Annual     17-Mar-2022  
B01002001E002170                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Matanuska-Susitna Borough, AK                                        NSA  Annual     17-Mar-2022  
B01002001E002180                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Nome Census Area, AK                                                 NSA  Annual     17-Mar-2022  
B01002001E002185                        Estimate, Median Age by Sex, Total Population (5-year estimate) in North Slope Borough, AK                                              NSA  Annual     17-Mar-2022  
B01002001E002188                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Northwest Arctic Borough, AK                                         NSA  Annual     17-Mar-2022  
B01002001E002195                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Petersburg Census Area, AK                                           NSA  Annual     17-Mar-2022  
B01002001E002198                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Prince of Wales-Hyder Census Area, AK                                NSA  Annual     17-Mar-2022  
B01002001E002220                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Sitka City and Borough, AK                                           NSA  Annual     17-Mar-2022  
B01002001E002230                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Skagway Municipality, AK                                             NSA  Annual     17-Mar-2022  
B01002001E002240                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Southeast Fairbanks Census Area, AK                                  NSA  Annual     17-Mar-2022  
B01002001E002261                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Valdez-Cordova Census Area, AK                                       NSA  Annual     10-Dec-2020  
B01002001E002270                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Wade Hampton Census Area, AK (DISCONTINUED)                          NSA  Annual     18-May-2017  
B01002001E002275                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Wrangell City and Borough, AK                                        NSA  Annual     17-Mar-2022  
B01002001E002282                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Yakutat City and Borough, AK                                         NSA  Annual     17-Mar-2022  
B01002001E002290                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Yukon-Koyukuk Census Area, AK                                        NSA  Annual     17-Mar-2022  
B01002001E004001                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Apache County, AZ                                                    NSA  Annual     17-Mar-2022  
B01002001E004003                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Cochise County, AZ                                                   NSA  Annual     17-Mar-2022  
B01002001E004005                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Coconino County, AZ                                                  NSA  Annual     17-Mar-2022  
B01002001E004007                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Gila County, AZ                                                      NSA  Annual     17-Mar-2022  
B01002001E004009                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Graham County, AZ                                                    NSA  Annual     17-Mar-2022  
B01002001E004011                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Greenlee County, AZ                                                  NSA  Annual     17-Mar-2022  
B01002001E004012                        Estimate, Median Age by Sex, Total Population (5-year estimate) in La Paz County, AZ                                                    NSA  Annual     17-Mar-2022  
B01002001E004013                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Maricopa County, AZ                                                  NSA  Annual     17-Mar-2022  
B01002001E004015                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Mohave County, AZ                                                    NSA  Annual     17-Mar-2022  
B01002001E004017                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Navajo County, AZ                                                    NSA  Annual     17-Mar-2022  
B01002001E004019                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Pima County, AZ                                                      NSA  Annual     17-Mar-2022  
B01002001E004021                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Pinal County, AZ                                                     NSA  Annual     17-Mar-2022  
B01002001E004023                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Santa Cruz County, AZ                                                NSA  Annual     17-Mar-2022  
B01002001E004025                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Yavapai County, AZ                                                   NSA  Annual     17-Mar-2022  
B01002001E004027                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Yuma County, AZ                                                      NSA  Annual     17-Mar-2022  
B01002001E005001                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Arkansas County, AR                                                  NSA  Annual     17-Mar-2022  
B01002001E005003                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Ashley County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005005                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Baxter County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005007                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Benton County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005009                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Boone County, AR                                                     NSA  Annual     17-Mar-2022  
B01002001E005011                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Bradley County, AR                                                   NSA  Annual     17-Mar-2022  
B01002001E005013                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Calhoun County, AR                                                   NSA  Annual     17-Mar-2022  
B01002001E005015                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Carroll County, AR                                                   NSA  Annual     17-Mar-2022  
B01002001E005017                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Chicot County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005019                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Clark County, AR                                                     NSA  Annual     17-Mar-2022  
B01002001E005021                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Clay County, AR                                                      NSA  Annual     17-Mar-2022  
B01002001E005023                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Cleburne County, AR                                                  NSA  Annual     17-Mar-2022  
B01002001E005025                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Cleveland County, AR                                                 NSA  Annual     17-Mar-2022  
B01002001E005027                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Columbia County, AR                                                  NSA  Annual     17-Mar-2022  
B01002001E005029                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Conway County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005031                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Craighead County, AR                                                 NSA  Annual     17-Mar-2022  
B01002001E005033                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Crawford County, AR                                                  NSA  Annual     17-Mar-2022  
B01002001E005035                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Crittenden County, AR                                                NSA  Annual     17-Mar-2022  
B01002001E005037                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Cross County, AR                                                     NSA  Annual     17-Mar-2022  
B01002001E005039                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Dallas County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005041                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Desha County, AR                                                     NSA  Annual     17-Mar-2022  
B01002001E005043                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Drew County, AR                                                      NSA  Annual     17-Mar-2022  
B01002001E005045                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Faulkner County, AR                                                  NSA  Annual     17-Mar-2022  
B01002001E005047                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Franklin County, AR                                                  NSA  Annual     17-Mar-2022  
B01002001E005049                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Fulton County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005051                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Garland County, AR                                                   NSA  Annual     17-Mar-2022  
B01002001E005053                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Grant County, AR                                                     NSA  Annual     17-Mar-2022  
B01002001E005055                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Greene County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005057                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Hempstead County, AR                                                 NSA  Annual     17-Mar-2022  
B01002001E005059                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Hot Spring County, AR                                                NSA  Annual     17-Mar-2022  
B01002001E005061                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Howard County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005063                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Independence County, AR                                              NSA  Annual     17-Mar-2022  
B01002001E005065                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Izard County, AR                                                     NSA  Annual     17-Mar-2022  
B01002001E005067                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Jackson County, AR                                                   NSA  Annual     17-Mar-2022  
B01002001E005069                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Jefferson County, AR                                                 NSA  Annual     17-Mar-2022  
B01002001E005071                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Johnson County, AR                                                   NSA  Annual     17-Mar-2022  
B01002001E005073                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lafayette County, AR                                                 NSA  Annual     17-Mar-2022  
B01002001E005075                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lawrence County, AR                                                  NSA  Annual     17-Mar-2022  
B01002001E005077                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lee County, AR                                                       NSA  Annual     17-Mar-2022  
B01002001E005079                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lincoln County, AR                                                   NSA  Annual     17-Mar-2022  
B01002001E005081                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Little River County, AR                                              NSA  Annual     17-Mar-2022  
B01002001E005083                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Logan County, AR                                                     NSA  Annual     17-Mar-2022  
B01002001E005085                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lonoke County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005087                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Madison County, AR                                                   NSA  Annual     17-Mar-2022  
B01002001E005089                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Marion County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005091                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Miller County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005093                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Mississippi County, AR                                               NSA  Annual     17-Mar-2022  
B01002001E005095                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Monroe County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005097                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Montgomery County, AR                                                NSA  Annual     17-Mar-2022  
B01002001E005099                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Nevada County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005101                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Newton County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005103                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Ouachita County, AR                                                  NSA  Annual     17-Mar-2022  
B01002001E005105                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Perry County, AR                                                     NSA  Annual     17-Mar-2022  
B01002001E005107                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Phillips County, AR                                                  NSA  Annual     17-Mar-2022  
B01002001E005109                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Pike County, AR                                                      NSA  Annual     17-Mar-2022  
B01002001E005111                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Poinsett County, AR                                                  NSA  Annual     17-Mar-2022  
B01002001E005113                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Polk County, AR                                                      NSA  Annual     17-Mar-2022  
B01002001E005115                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Pope County, AR                                                      NSA  Annual     17-Mar-2022  
B01002001E005117                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Prairie County, AR                                                   NSA  Annual     17-Mar-2022  
B01002001E005119                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Pulaski County, AR                                                   NSA  Annual     17-Mar-2022  
B01002001E005121                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Randolph County, AR                                                  NSA  Annual     17-Mar-2022  
B01002001E005123                        Estimate, Median Age by Sex, Total Population (5-year estimate) in St. Francis County, AR                                               NSA  Annual     17-Mar-2022  
B01002001E005125                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Saline County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005127                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Scott County, AR                                                     NSA  Annual     17-Mar-2022  
B01002001E005129                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Searcy County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005131                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Sebastian County, AR                                                 NSA  Annual     17-Mar-2022  
B01002001E005133                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Sevier County, AR                                                    NSA  Annual     17-Mar-2022  
B01002001E005135                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Sharp County, AR                                                     NSA  Annual     17-Mar-2022  
B01002001E005137                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Stone County, AR                                                     NSA  Annual     17-Mar-2022  
B01002001E005139                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Union County, AR                                                     NSA  Annual     17-Mar-2022  
B01002001E005141                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Van Buren County, AR                                                 NSA  Annual     17-Mar-2022  
B01002001E005143                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Washington County, AR                                                NSA  Annual     17-Mar-2022  
B01002001E005145                        Estimate, Median Age by Sex, Total Population (5-year estimate) in White County, AR                                                     NSA  Annual     17-Mar-2022  
B01002001E005147                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Woodruff County, AR                                                  NSA  Annual     17-Mar-2022  
B01002001E005149                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Yell County, AR                                                      NSA  Annual     17-Mar-2022  
B01002001E006001                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Alameda County, CA                                                   NSA  Annual     17-Mar-2022  
B01002001E006003                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Alpine County, CA                                                    NSA  Annual     17-Mar-2022  
B01002001E006005                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Amador County, CA                                                    NSA  Annual     17-Mar-2022  
B01002001E006007                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Butte County, CA                                                     NSA  Annual     17-Mar-2022  
B01002001E006009                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Calaveras County, CA                                                 NSA  Annual     17-Mar-2022  
B01002001E006011                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Colusa County, CA                                                    NSA  Annual     17-Mar-2022  
B01002001E006013                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Contra Costa County, CA                                              NSA  Annual     17-Mar-2022  
B01002001E006015                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Del Norte County, CA                                                 NSA  Annual     17-Mar-2022  
B01002001E006017                        Estimate, Median Age by Sex, Total Population (5-year estimate) in El Dorado County, CA                                                 NSA  Annual     17-Mar-2022  
B01002001E006019                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Fresno County, CA                                                    NSA  Annual     17-Mar-2022  
B01002001E006021                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Glenn County, CA                                                     NSA  Annual     17-Mar-2022  
B01002001E006023                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Humboldt County, CA                                                  NSA  Annual     17-Mar-2022  
B01002001E006025                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Imperial County, CA                                                  NSA  Annual     17-Mar-2022  
B01002001E006027                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Inyo County, CA                                                      NSA  Annual     17-Mar-2022  
B01002001E006029                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Kern County, CA                                                      NSA  Annual     17-Mar-2022  
B01002001E006031                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Kings County, CA                                                     NSA  Annual     17-Mar-2022  
B01002001E006033                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lake County, CA                                                      NSA  Annual     17-Mar-2022  
B01002001E006035                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lassen County, CA                                                    NSA  Annual     17-Mar-2022  
B01002001E006037                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Los Angeles County, CA                                               NSA  Annual     17-Mar-2022  
B01002001E006039                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Madera County, CA                                                    NSA  Annual     17-Mar-2022  
B01002001E006041                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Marin County, CA                                                     NSA  Annual     17-Mar-2022  
B01002001E006043                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Mariposa County, CA                                                  NSA  Annual     17-Mar-2022  
